This is a tab delimited file. If you are seeing this in your web browser, you 
probably want to use the "Save target as..." right-click option, or the 
"Download link to disk..." option on macintosh browsers. (Mac users, hold down 
the mouse button over the link until the pop-up menu appears.)
This text file contains the red:green ratios 
from hybridizations done with arrays containing all the elements 
of the yeast genome.  The "i" preceding the element indicates 
that the spot of DNA corresponds to an intergenic segment of DNA 
to the right of the indicated element.  Blanks indicate that the 
spot on the array corresponding to that element did not contain 
usable data.


NAME	FX6	FX4
iYJL014W	0.67	0.77
iYJL017W	0.81	0.83
iYJL018W	0.63	0.53
iYJL020C	0.9	0.89
iYJL022W	0.78	0.68
iYJL024C	0.57	0.6
iYJL025W	0.69	0.75
iYJL026W	0.86	0.74
iYJL027C	1.67	1.68
iYJL028W	1.03	1.19
iYJL029C	1.5	0.98
iYJL030W	0.99	0.9
iYJL031C	0.81	0.67
iYJL033W	0.8	0.94
iYJL034W	0.69	0.6
iYJL035C	1.21	0.79
iYJL036W	0.58	0.7
iYJL037W	0.7	0.73
iYJL038C	0.78	0.63
iYJL039C	0.99	1.09
iYJL041W	0.65	0.9
iYJL042W	0.82	0.99
iYJL043W	0.66	0.87
iYJL044C	1.4	1.48
iYJL045W	0.63	0.8
iYJL046W	0.89	0.84
iYJL047C	0.79	0.85
iYJL048C	1.17	1.5
iYJL049W	0.84	1.04
iYJL050W	1.19	1.19
iYJL051W	1.03	1.16
iYJL052W	1.63	1.57
iYJL053W	2.03	2.61
iYJL054W	1.45	1.51
iYJL055W	0.88	1.01
iYJL056C	2.11	1.78
iYJL057C	0.66	0.8
iYJL058C	0.84	1.04
iYJL060W	0.72	0.91
iYJL061W	1.11	0.9
iYJL062W	0.78	0.6
iYJL063C	1.78	1.5
iYJL064W	1.22	1.13
iYJL066C	1.23	1.18
iYJL068C	0.97	0.69
iYJL069C	1.4	1.05
iYJL070C	0.79	0.74
iYJL071W	0.57	0.72
iYJL072C	0.7	0.56
iYJL073W	0.6	0.71
iYJL074C	0.62	0.75
iYJL075C	0.71	0.72
iYJL077C	0.87	0.72
iYJL078C	1.23	1.33
iYJL079C	1.22	1.26
iYJL080C	1.49	1.35
iYJL081C	0.59	0.51
iYJL082W	0.75	0.67
iYJL083W	0.78	0.71
iYJL084C	1.08	1.05
iYJL085W	0.58	0.55
iYJL088W	0.93	1.33
iYJL089W	0.54	0.58
iYJL090C	1.24	1.34
iYJL091C	0.55	0.62
iYJL092W	0.65	0.97
iYJL093C	0.62	0.54
iYJL094C	0.95	0.95
iYJL095W	0.47	0.55
iYJL096W	0.9	0.94
iYJL098W	0.68	0.73
iYJL099W	1.08	1.06
iYJL100W	0.92	0.82
iYJL101C	2.28	2.62
iYJL102W	0.96	1.18
iYJL103C	0.51	0.8
iYJL104W	0.75	0.84
iYJL105W	1.14	1.11
iYJL106W-0	1.27	1.19
iYJL106W-1	0.85	0.85
iYJL107C	0.79	0.74
iYJL109C	0.95	1.3
iYJL110C	0.55	0.75
iYJL111W	0.81	1.09
iYJL112W	0.64	0.79
iYJL113W	0.99	0.61
iYJL115W	0.68	0.9
iYJL116C	1	0.83
iYJL117W	0.91	0.89
iYJL118W	1.42	1.14
iYJL120W	1.18	1.37
iYJL122W	1.45	1.12
iYJL123C	0.77	1.07
iYJL124C	1.08	0.81
iYJL125C	0.66	0.74
iYJL126W	0.71	0.59
iYJL127C	0.82	0.85
iYJL128C-0	1.06	1.12
iYJL128C-1	1.21	0.95
iYJL129C	1.09	1.08
iYJL130C	0.89	0.87
iYJL131C	0.66	0.76
iYJL132W	0.8	0.74
iYJL133W	1.05	1.03
iYJL134W	1.76	1.62
iYJL136C	1.46	1.52
iYJL137C	0.98	0.85
iYJL138C	0.95	0.67
iYJL139C	0.87	0.85
iYJL140W	0.71	0.71
iYJL141C	0.82	0.82
iYJL143W	0.97	0.75
iYJL144W	1.01	0.9
iYJL145W	1.23	0.94
iYJL146W	1.09	0.76
iYJL147C	1.47	0.95
iYJL148W	0.86	0.91
iYJL149W	1.08	1.01
iYJL151C	0.95	1.37
iYJL153C	1.74	1.84
iYJL154C	0.92	1.17
iYJL155C	0.93	0.89
iYJL156C	1.09	1.16
iYJL157C	1.1	0.94
iYJL158C	2.64	1.89
iYJL159W	1.39	1.74
iYJL160C-0	1.2	1.04
iYJL160C-1		1.44
iYJL161W		0.98
iYJL162C	0.62	0.8
iYJL163C	0.74	0.71
iYJL164C	0.71	0.8
iYJL165C	1.05	0.78
iYJL166W	0.6	0.77
iYJL167W	0.9	0.82
iYJL168C	0.55	0.67
iYJL170C	0.86	0.75
iYJL171C	0.76	0.83
iYJL172W	1.13	0.91
iYJL173C	0.93	0.97
iYJL174W	0.98	1.04
iYJL175W	1.03	1.07
iYJL177W	0.68	0.84
iYJL178C	0.81	0.87
iYJL179W	0.82	0.9
iYJL180C	0.84	0.77
iYJL181W	0.74	0.67
iYJL183W	0.59	0.89
iYJL184W	0.84	0.88
iYJL185C	1.19	0.95
iYJL186W	0.79	0.84
iYJL187C	0.67	0.92
iYJL188C	0.89	0.88
iYJL190C	0.99	0.98
iYJL191W	1.32	1.09
iYJL192C	1.23	0.94
iYJL193W	0.86	0.73
iYJL194W	0.72	0.74
iYJL196C	0.88	0.76
iYJL197W	0.59	0.69
iYJL198W	0.83	0.8
iYJL199C	0.76	0.78
iYJL200C	1.18	1
iYJL201W	0.83	0.97
iYJL202C	0.92	0.84
iYJL204C	0.87	1.2
iYJL206C	0.79	0.84
iYJL206C-A	0.85	0.8
iYJL207C	0.88	0.76
iYJL208C	0.83	0.92
iYJL209W	1.14	0.96
iYJL210W	1.04	1.22
iYJL212C	1.34	1.22
iYJL213W	0.82	0.9
iYJL214W-0	0.92	0.82
iYJL214W-1	0.9	0.74
iYJL214W-2	0.76	0.96
iYJL215C	0.45	0.46
iYJL216C	0.63	0.74
iYJL217W	0.67	0.59
iYJL218W		
iYJL219W	0.75	0.6
iYJL220W	0.77	0.67
iYJL222W	0.69	0.62
iYJL223C-0	0.98	0.69
iYJL223C-1	1.08	0.84
iYJL225C-0	1.39	1.32
iYJL225C-1	1.84	1.33
iYJLCdelta3	1.25	1.02
iYJLCdelta5	0.75	0.91
iYJLCdelta6	0.71	0.78
iYJLCdelta7	1.1	0.86
iYJLWdelta1	0.9	0.87
iYJLWdelta15	0.65	0.79
iYJLWdelta19	0.64	0.72
iYJLWdelta8	0.96	1.13
iYJLWdelta9	0.96	1.09
iYJLWtau4	0.87	0.96
iYJR001W	0.55	0.73
iYJR002W	0.76	0.87
iYJR003C	0.57	0.71
iYJR004C	0.83	0.78
iYJR005W	0.84	0.69
iYJR006W	0.85	0.82
iYJR007W	0.66	0.72
iYJR008W	1.12	
iYJR009C-0	1.38	1.03
iYJR009C-1	1.92	1.28
iYJR010C-A	0.84	0.84
iYJR010W	0.73	0.71
iYJR011C	0.76	0.74
iYJR012C	0.71	0.85
iYJR013W	0.83	0.93
iYJR014W	0.69	0.95
iYJR015W	0.83	0.85
iYJR016C	1.26	1.25
iYJR018W	0.95	1.4
iYJR020W	1.71	1.49
iYJR021C	1.02	1.04
iYJR024C	1.72	1.85
iYJR025C	1.64	1.46
iYJR030C	1.1	0.95
iYJR031C	0.54	0.6
iYJR032W	0.61	0.63
iYJR033C	0.66	0.63
iYJR034W	0.89	0.84
iYJR035W	0.75	0.92
iYJR037W	1.01	1
iYJR039W	0.84	1.05
iYJR040W	1.05	1.22
iYJR041C	0.87	1.1
iYJR042W	0.72	0.82
iYJR043C	1.15	1.18
iYJR044C	1.04	1.05
iYJR045C	1.3	1.56
iYJR046W	1.18	1.26
iYJR047C	2.12	1.85
iYJR048W	1.41	1.52
iYJR049C	1.22	1.26
iYJR050W	0.94	0.96
iYJR051W	0.85	0.79
iYJR052W	0.66	0.85
iYJR053W	0.81	0.92
iYJR054W	1.22	1.21
iYJR055W	0.81	0.82
iYJR056C	0.83	0.85
iYJR058C	2.15	1.43
iYJR059W	0.7	0.78
iYJR060W	0.95	0.92
iYJR061W	0.53	0.67
iYJR062C	0.91	0.82
iYJR063W	0.8	0.71
iYJR064W	0.79	0.81
iYJR065C	0.88	0.85
iYJR066W	0.85	0.77
iYJR067C	0.67	0.79
iYJR068W	0.77	0.8
iYJR069C	0.94	0.86
iYJR071W	1.07	1.07
iYJR072C	1.16	1.21
iYJR073C	1.76	1.39
iYJR074W	1.22	1.27
iYJR075W	1.27	1.03
iYJR076C	2.11	1.35
iYJR077C	3.43	2.86
iYJR080C	0.64	0.89
iYJR082C	1.22	1.31
iYJR083C	0.45	0.72
iYJR084W	0.93	1.13
iYJR085C	0.69	0.89
iYJR088C	1.09	1.11
iYJR089W	0.49	0.7
iYJR090C	0.79	0.88
iYJR091C	0.5	0.71
iYJR092W	0.75	0.92
iYJR093C	0.55	0.65
iYJR094C-0	1.22	0.92
iYJR094C-1	0.48	0.51
iYJR094W-A	1.18	0.95
iYJR095W	0.7	0.63
iYJR096W	0.8	0.92
iYJR097W	0.51	0.53
iYJR098C	0.91	0.81
iYJR099W	0.45	0.53
iYJR100C	1.07	1
iYJR101W	0.8	0.89
iYJR102C	1.1	0.81
iYJR103W	1.13	1.58
iYJR104C	1.54	1.56
iYJR105W	0.8	1.06
iYJR106W	0.63	0.65
iYJR107W	0.89	0.72
iYJR108W	0.8	0.72
iYJR109C	1.04	0.89
iYJR110W	0.57	0.64
iYJR111C	1	0.97
iYJR112W	1.44	1.27
iYJR114W	0.92	0.79
iYJR115W	1.06	0.98
iYJR116W	0.95	1.23
iYJR117W	0.52	0.46
iYJR118C	0.67	0.84
iYJR119C	0.94	0.57
iYJR120W	0.98	0.98
iYJR121W	0.77	0.68
iYJR122W	0.96	0.71
iYJR123W	0.46	0.39
iYJR124C	0.8	0.75
iYJR125C	0.44	0.39
iYJR126C	0.57	0.77
iYJR128W	0.75	0.92
iYJR129C	0.84	0.97
iYJR130C	0.67	0.74
iYJR131W	0.86	0.92
iYJR132W	0.64	0.63
iYJR133W	0.84	0.87
iYJR134C	0.53	0.76
iYJR135C	0.96	1.05
iYJR136C	0.51	0.72
iYJR137C	1.58	1.2
iYJR138W	0.48	0.65
iYJR139C	0.95	1.09
iYJR140C	0.62	0.64
iYJR141W	0.95	1.11
iYJR142W	0.5	0.63
iYJR143C	0.92	0.8
iYJR144W	0.81	0.68
iYJR145C	1.63	1.41
iYJR147W	0.99	1.04
iYJR148W	0.99	1.03
iYJR149W	0.63	0.67
iYJR150C-0	1.34	0.87
iYJR150C-1	1.11	0.83
iYJR151C-0	1.07	0.98
iYJR151C-1	1.23	0.86
iYJR151C-2	1.46	0.88
iYJR152W	0.87	0.61
iYJR153W-0	1.5	0.98
iYJR153W-1	1.44	0.95
iYJR154W	0.8	0.75
iYJR155W	0.52	0.53
iYJR156C	1.07	0.79
iYJR157W-0	0.82	0.59
iYJR157W-1	0.78	0.56
iYJR158W-0	0.5	0.53
iYJR158W-1	0.96	0.78
iYJR159W	1.08	0.58
iYJR160C-0	0.76	0.73
iYJR160C-1	0.88	0.79
iYJR161C	1.3	1.14
iYJRWdelta14	1.25	1.31
iYJRWdelta17	1.13	0.81
iYJRWdelta20	1.1	0.96
iYKL001C	1.22	0.9
iYKL002W	0.55	0.66
iYKL003C	1.13	0.8
iYKL004W	0.64	0.65
iYKL005C	0.82	0.76
iYKL006C-A	1.36	0.92
iYKL006W	0.74	0.67
iYKL007W	0.75	0.81
iYKL008C	1.09	0.77
iYKL009W	0.71	0.87
iYKL010C	0.81	0.66
iYKL011C	0.46	0.6
iYKL012W	0.71	0.62
iYKL013C	0.62	0.68
iYKL014C	0.96	0.73
iYKL015W	0.53	0.72
iYKL016C	0.89	0.8
iYKL017C	0.7	0.79
iYKL018W	0.74	0.65
iYKL019W	0.88	0.9
iYKL020C	1.05	0.96
iYKL021C	0.67	0.76
iYKL022C	0.77	0.7
iYKL023W	0.71	0.76
iYKL024C	0.88	0.91
iYKL025C	0.68	0.86
iYKL026C	0.83	0.79
iYKL027W	0.97	0.94
iYKL028W	0.99	0.84
iYKL029C	0.96	0.99
iYKL032C	1.16	1.16
iYKL033W	1.06	0.95
iYKL033W-A	1.31	1.21
iYKL034W	1.15	1.15
iYKL035W	1.16	1.29
iYKL038W	2.05	1.86
iYKL039W	1.09	1.06
iYKL040C	1.26	1.22
iYKL041W	0.94	1.14
iYKL042W	1.01	1
iYKL043W	0.81	1.07
iYKL044W	0.83	1.09
iYKL045W	0.91	0.84
iYKL046C	0.79	0.69
iYKL047W	0.74	0.65
iYKL048C	0.72	0.58
iYKL049C	0.95	0.8
iYKL050C	0.67	0.56
iYKL051W	0.76	0.76
iYKL052C	0.78	0.62
iYKL053C-A	0.73	0.83
iYKL054C	0.65	0.63
iYKL055C	1.14	1.01
iYKL056C	0.64	0.64
iYKL057C	1.13	0.96
iYKL058W	0.7	0.74
iYKL059C	1.25	0.97
iYKL060C	0.89	0.79
iYKL061W	1.02	1.17
iYKL062W	1.18	0.73
iYKL063C-0	1.16	0.95
iYKL063C-1	1.49	1.27
iYKL064W	0.86	0.84
iYKL065C	0.68	0.58
iYKL066W	1.14	0.9
iYKL068W	1.4	1.05
iYKL069W	1.27	0.87
iYKL070W	1.04	0.99
iYKL071W	0.86	0.9
iYKL072W	0.63	0.84
iYKL073W	1.21	1.18
iYKL074C	0.94	1.14
iYKL075C	1.37	1.09
iYKL077W	0.85	1.05
iYKL078W	1.26	1.15
iYKL079W	0.91	0.97
iYKL080W	1.18	1.26
iYKL081W	1.02	1.26
iYKL082C	1.34	1.23
iYKL084W	0.98	1.1
iYKL085W	1.36	1.35
iYKL086W	0.97	1.27
iYKL087C	0.92	0.95
iYKL088W	0.91	0.77
iYKL089W	0.77	0.72
iYKL090W	0.85	0.62
iYKL091C	1.38	0.95
iYKL092C	0.73	0.67
iYKL093W	1.01	0.81
iYKL094W	0.84	0.72
iYKL095W	0.98	0.89
iYKL096W	0.81	0.73
iYKL097C	1.8	1.78
iYKL097W-A-0	1.12	1.06
iYKL097W-A-1	1.06	1.01
iYKL098W	1.46	1.15
iYKL099C	0.91	1
iYKL100C	0.76	0.73
iYKL101W		0.87
iYKL102C	0.92	0.74
iYKL103C	1.2	1.09
iYKL104C	1.33	1.07
iYKL105C	0.9	0.83
iYKL106W	0.77	0.64
iYKL107W	1.1	0.98
iYKL108W	0.64	0.65
iYKL109W	1.06	1.14
iYKL110C-0	2.06	1.56
iYKL110C-1	0.95	1.21
iYKL111C	0.87	0.76
iYKL113C	1.21	1.09
iYKL114C	0.68	0.74
iYKL115C	1.02	0.95
iYKL117W	1.09	0.76
iYKL120W	0.89	0.9
iYKL121W	0.69	0.74
iYKL122C	0.87	1.01
iYKL123W	0.73	0.97
iYKL125W	1.15	1.07
iYKL126W	0.95	1.12
iYKL127W	1.73	1.82
iYKL128C	1.4	1.39
iYKL129C	0.79	1.08
iYKL130C	1.02	1.19
iYKL131W	0.93	1.17
iYKL133C	1.21	1.3
iYKL134C	0.77	1.03
iYKL135C	0.96	0.84
iYKL137W	0.45	0.69
iYKL138C	1.26	1
iYKL139W	0.52	0.73
iYKL140W	0.79	0.73
iYKL141W	0.6	0.76
iYKL142W	0.88	0.81
iYKL143W	0.56	0.75
iYKL144C	0.65	0.8
iYKL145W	0.41	0.61
iYKL146W	0.87	0.82
iYKL148C	0.85	1.09
iYKL149C	0.87	0.83
iYKL150W	0.84	0.81
iYKL151C	1.46	1.3
iYKL152C	0.81	0.85
iYKL154W	0.72	0.82
iYKL155C	0.82	0.89
iYKL156W	0.58	0.64
iYKL157W	0.65	0.63
iYKL158W	0.79	0.73
iYKL159C	0.82	0.68
iYKL160W	0.79	0.77
iYKL161C-0	0.96	0.88
iYKL161C-1	0.64	0.72
iYKL162C	0.84	0.73
iYKL162C-A-0	1	1
iYKL162C-A-1	1.03	0.93
iYKL163W	1.08	1.03
iYKL164C-0	1.18	1.19
iYKL164C-1	1.1	1.19
iYKL165C	1.09	0.93
iYKL166C-0	1.22	1.05
iYKL166C-1	1.11	0.96
iYKL167C	1.02	1.1
iYKL168C	1.04	0.98
iYKL169C	0.61	0.88
iYKL171W	0.89	0.75
iYKL172W	0.61	0.84
iYKL173W	0.83	0.88
iYKL174C	0.79	0.94
iYKL175W	0.92	0.97
iYKL176C	0.9	1.02
iYKL177W	1.26	1.09
iYKL179C	0.93	1.17
iYKL180W	0.95	0.92
iYKL181W	0.7	0.98
iYKL182W	0.93	0.8
iYKL183W	1.17	1.36
iYKL184W	0.99	1.04
iYKL185W	0.67	0.66
iYKL186C	1.27	1
iYKL187C	0.77	0.86
iYKL188C	0.87	0.81
iYKL189W	0.51	0.69
iYKL190W	1.2	0.94
iYKL191W	0.83	0.93
iYKL192C	0.9	0.96
iYKL193C	1	1.08
iYKL194C	0.77	0.9
iYKL195W	0.59	0.74
iYKL196C	0.71	0.71
iYKL197C	1.04	0.8
iYKL198C	1.23	1.24
iYKL200C	0.83	0.86
iYKL201C	0.97	0.95
iYKL203C	0.54	0.72
iYKL204W	0.72	0.71
iYKL205W	0.74	0.86
iYKL206C	0.79	0.88
iYKL207W	0.75	0.75
iYKL208W	0.74	0.77
iYKL209C	0.88	0.93
iYKL210W	0.7	0.72
iYKL211C	0.7	0.7
iYKL212W	0.93	0.93
iYKL213C	0.62	0.81
iYKL214C	0.89	0.85
iYKL215C	0.67	0.98
iYKL216W	1.16	1.05
iYKL217W	0.95	0.95
iYKL218C-0	1.39	1.05
iYKL218C-1	1.11	1.16
iYKL218C-2	1.38	1.25
iYKL219W-0	1.17	1.05
iYKL219W-1	0.9	1.05
iYKL220C-0	0.63	0.54
iYKL220C-1	1.09	0.82
iYKL220C-2	0.83	1.02
iYKL221W-0	0.73	0.63
iYKL221W-1	0.77	0.72
iYKL222C	0.78	0.67
iYKL223W	0.72	0.6
iYKL224C	0.89	0.78
iYKL225W	1.63	1.1
iYKLCdelta2	0.56	0.66
iYKLCdelta4	1.12	0.75
iYKLCdelta5	1.04	1.08
iYKLCdelta6	1.11	1.06
iYKLWdelta1	0.78	0.81
iYKLWdelta3	1	0.92
iYKLWdelta7	0.83	0.73
iYKR001C	0.93	0.72
iYKR002W	0.59	0.73
iYKR003W	0.88	0.73
iYKR004C	0.95	1.14
iYKR005C	0.87	0.89
iYKR006C	0.61	0.8
iYKR007W	0.77	0.81
iYKR008W	0.83	0.96
iYKR009C	1.11	0.96
iYKR010C	0.94	1.12
iYKR011C	2.07	1.92
iYKR013W	1.09	1.17
iYKR014C	1.03	1.05
iYKR015C	0.73	0.77
iYKR016W	0.82	0.7
iYKR017C	0.77	0.8
iYKR018C	0.87	0.88
iYKR019C	0.81	0.94
iYKR020W	0.91	0.79
iYKR021W	0.73	0.73
iYKR022C	0.78	0.7
iYKR023W	0.61	0.81
iYKR024C	0.75	0.75
iYKR025W	0.76	0.96
iYKR026C	1.03	0.77
iYKR027W	0.75	0.75
iYKR029C	0.88	0.79
iYKR030W	0.83	0.91
iYKR031C	0.78	0.77
iYKR034W	0.63	0.77
iYKR035W-A	0.65	0.66
iYKR036C	0.63	0.92
iYKR037C	0.9	0.93
iYKR038C	0.75	0.97
iYKR039W	1.33	0.94
iYKR041W	1.95	1.45
iYKR042W	0.98	1.28
iYKR043C	1.33	0.94
iYKR044W	0.93	1.25
iYKR045C	1.44	1.33
iYKR046C	1.18	1.44
iYKR048C	1.97	1.52
iYKR049C	1.77	1.89
iYKR050W	0.96	0.86
iYKR051W	0.8	0.83
iYKR052C	1.08	1.17
iYKR053C	0.6	0.7
iYKR054C	0.85	0.98
iYKR055W	0.61	0.65
iYKR056W	0.86	0.87
iYKR057W	0.85	0.8
iYKR058W	0.9	0.92
iYKR059W	0.79	0.81
iYKR060W	0.9	1.02
iYKR061W	0.64	0.75
iYKR062W	0.52	0.69
iYKR063C	0.71	0.84
iYKR064W	0.61	0.76
iYKR065C	1	1.08
iYKR066C	1.84	1.5
iYKR067W	0.91	1.1
iYKR068C	0.98	0.97
iYKR069W	0.7	0.87
iYKR070W	0.77	0.85
iYKR071C	0.87	0.83
iYKR072C	0.64	0.79
iYKR073C	1.14	1.02
iYKR074W	0.83	0.95
iYKR075C-0	1.04	0.92
iYKR075C-1	1.3	1.05
iYKR076W	0.52	0.66
iYKR077W	0.67	0.67
iYKR078W	0.52	0.64
iYKR079C	1.38	1.08
iYKR080W	0.62	0.73
iYKR081C	0.74	0.84
iYKR082W	0.46	0.58
iYKR083C	0.61	0.67
iYKR084C	0.43	0.33
iYKR085C	0.59	0.66
iYKR086W	0.44	0.34
iYKR087C	0.66	0.75
iYKR088C	0.44	0.34
iYKR089C	0.68	0.74
iYKR090W	0.68	0.49
iYKR091W	0.66	0.66
iYKR092C-0	1.31	1.21
iYKR092C-1	2.5	1.76
iYKR093W	0.61	0.66
iYKR094C	1.15	0.95
iYKR095W	0.74	0.78
iYKR096W	1.16	1.14
iYKR097W	0.78	0.8
iYKR098C	1.02	1.01
iYKR099W	0.86	0.73
iYKR100C	0.84	0.88
iYKR101W-0	0.98	0.81
iYKR101W-1	1.15	0.84
iYKR101W-2	0.77	0.7
iYKR102W-0	1.02	0.94
iYKR102W-1		0.77
iYKR102W-2	0.97	0.91
iYKR103W	0.5	0.59
iYKR104W	0.65	0.86
iYKR105C	0.78	0.67
iYKR106W-0	0.94	0.82
iYKR106W-1	1.06	0.8
iYKRCdelta11	1.19	1.12
iYKRCdelta12	0.75	0.91
iYKRCdelta8	0.87	1.1
iYKRWdelta10	0.72	0.84
iYLL001W	0.67	0.75
iYLL002W	0.71	0.79
iYLL003W	0.76	0.7
iYLL004W	0.66	0.74
iYLL005C	1.12	0.98
iYLL006W	0.64	0.67
iYLL007C	0.63	0.66
iYLL008W	0.68	0.67
iYLL009C	0.64	0.62
iYLL010C	0.67	0.52
iYLL011W	0.74	0.59
iYLL012W	0.71	0.72
iYLL013C	1.57	1.31
iYLL014W	0.84	0.83
iYLL015W	0.67	0.76
iYLL016W	0.79	0.86
iYLL017W	1.06	1.1
iYLL018C	1.28	1.17
iYLL018C-A	1.23	1.3
iYLL019C	1.92	2.04
iYLL021W	0.59	0.72
iYLL022C	0.92	0.84
iYLL023C	0.95	1.19
iYLL024C	1.16	1.17
iYLL025W	0.98	0.9
iYLL026W	1.06	1.29
iYLL027W	0.88	0.8
iYLL028W	0.83	0.91
iYLL029W	1.95	1.5
iYLL030C	0.89	1.09
iYLL031C	0.98	0.89
iYLL032C	0.72	0.89
iYLL033W	1.02	0.81
iYLL034C	0.75	0.89
iYLL035W	0.53	0.66
iYLL036C	0.46	0.59
iYLL039C	1.03	1.01
iYLL040C	0.65	0.67
iYLL041C	0.85	0.91
iYLL042C	0.66	0.63
iYLL043W	0.61	
iYLL044W	0.71	0.6
iYLL046C	0.7	0.73
iYLL048C	0.45	0.51
iYLL049W	1.02	0.93
iYLL050C	0.44	0.4
iYLL051C	0.73	0.79
iYLL052C	0.93	0.83
iYLL054C	0.75	0.79
iYLL055W	1.03	0.8
iYLL056C-0	0.82	0.71
iYLL056C-1	0.9	0.82
iYLL057C	0.74	0.73
iYLL058W	0.63	0.66
iYLL059C	1.08	0.81
iYLL060C	0.87	0.71
iYLL061W	0.99	0.64
iYLL062C	0.53	0.54
iYLL063C	1.26	0.99
iYLL064C	1.12	0.87
iYLL065W	1.49	1.26
iYLL066C-0	1.82	1.41
iYLL066C-1	1.26	1.22
iYLL067C-0	1.59	1.32
iYLL067C-1	1.63	1.45
iYLLCdelta1	1.12	1.05
iYLR001C	0.79	0.68
iYLR002C	0.79	0.69
iYLR003C	0.53	0.7
iYLR004C	0.74	0.74
iYLR005W	0.61	0.72
iYLR006C	0.91	0.83
iYLR007W	0.55	0.66
iYLR008C	0.81	0.62
iYLR009W	0.5	0.71
iYLR010C	0.75	0.58
iYLR011W	1.14	0.88
iYLR012C		1.09
iYLR013W	1.08	0.9
iYLR014C		1.07
iYLR016C	0.81	0.89
iYLR017W	0.79	0.92
iYLR018C	0.83	0.65
iYLR019W	0.66	0.9
iYLR020C	0.83	0.73
iYLR022C	0.78	0.86
iYLR023C	0.86	0.81
iYLR024C	0.89	0.75
iYLR025W	0.72	0.68
iYLR026C	0.69	0.71
iYLR027C	0.93	0.83
iYLR028C	0.81	0.95
iYLR029C	0.79	0.73
iYLR030W	0.69	0.72
iYLR031W	0.69	0.65
iYLR032W	0.72	0.72
iYLR033W	0.72	0.68
iYLR034C	0.79	0.88
iYLR035C	0.93	0.87
iYLR035C-A-0	1.51	1.11
iYLR035C-A-1	1.7	1.04
iYLR036C	1.51	1.08
iYLR037C-0	1.42	1.21
iYLR037C-1	1.43	1.18
iYLR038C	0.93	0.99
iYLR039C	0.96	1
iYLR041W	0.86	0.83
iYLR042C	0.93	0.98
iYLR043C	1.09	0.89
iYLR044C	0.99	1.02
iYLR045C	0.62	0.58
iYLR046C	0.62	0.77
iYLR047C	1.48	1.49
iYLR048W	0.66	0.95
iYLR049C	0.96	0.78
iYLR050C	0.69	0.89
iYLR051C	0.93	0.75
iYLR052W	0.69	1.02
iYLR053C	1	0.78
iYLR054C	1	1.06
iYLR055C	2.74	2.07
iYLR056W	0.99	1.1
iYLR057W	0.93	1.26
iYLR058C	0.83	1.3
iYLR059C	1.32	1.65
iYLR060W	0.65	0.91
iYLR062C	0.98	1.28
iYLR063W	0.57	0.87
iYLR064W	0.91	1.08
iYLR065C	0.51	0.85
iYLR066W	0.97	1.05
iYLR067C	0.65	0.83
iYLR068W	0.79	1.05
iYLR069C	0.74	0.69
iYLR070C	0.84	0.96
iYLR071C	1.06	0.99
iYLR072W	0.74	1.01
iYLR073C	0.76	0.84
iYLR074C	1.12	1.23
iYLR076C	0.57	0.74
iYLR077W	0.83	0.93
iYLR078C	0.58	0.66
iYLR079W	0.99	1.27
iYLR080W	1.84	1.86
iYLR081W	0.88	1.02
iYLR082C	0.73	0.63
iYLR083C	0.65	0.8
iYLR084C	0.48	0.48
iYLR085C	0.72	0.76
iYLR086W	0.64	0.55
iYLR087C	0.65	0.67
iYLR088W	0.57	0.62
iYLR089C	0.79	0.85
iYLR090W	0.57	0.66
iYLR091W	0.85	0.91
iYLR092W	0.58	0.54
iYLR093C	0.97	0.99
iYLR094C	0.72	0.76
iYLR095C	1.07	1.08
iYLR096W	0.65	0.49
iYLR097C	0.72	0.87
iYLR098C	0.72	0.66
iYLR099C	2.59	2.66
iYLR102C	0.52	0.59
iYLR103C	0.99	0.8
iYLR104W	0.46	0.51
iYLR105C	0.94	0.82
iYLR106C	0.64	0.6
iYLR107W	0.88	0.85
iYLR108C	0.95	0.95
iYLR109W	1.24	1.32
iYLR110C	0.91	1.23
iYLR111W	1.32	1.61
iYLR112W	1.21	1.33
iYLR113W	1.4	1.48
iYLR114C	0.96	1.05
iYLR115W	0.74	0.88
iYLR116W	0.89	1.09
iYLR117C	0.88	0.9
iYLR118C	0.99	1.01
iYLR119W	0.74	0.82
iYLR120C	1.9	1.88
iYLR121C	0.82	1.1
iYLR123C	1.13	1.23
iYLR124W-0	0.83	0.86
iYLR124W-1	0.99	1.05
iYLR125W	0.7	0.71
iYLR126C	0.78	0.98
iYLR127C	0.58	0.72
iYLR128W	0.7	0.77
iYLR129W	0.49	0.51
iYLR130C	0.75	0.71
iYLR131C	0.56	0.58
iYLR132C	0.72	0.73
iYLR133W	0.82	0.62
iYLR134W	1.07	0.9
iYLR135W	0.64	0.63
iYLR136C	1.22	1.12
iYLR137W	0.72	0.75
iYLR138W	0.54	0.7
iYLR141W	0.74	0.67
iYLR142W	0.94	0.98
iYLR143W	0.61	0.7
iYLR144C	0.46	0.51
iYLR146C	0.73	0.73
iYLR147C	0.86	0.84
iYLR148W	0.67	0.79
iYLR149C	0.53	0.57
iYLR150W	0.76	0.75
iYLR151C	0.37	0.43
iYLR152C	0.67	0.67
iYLR153C	0.45	0.51
